image_id,symsums
ISIC_0001769,10498.127162525838
ISIC_0001852,14789.927388292068
ISIC_0001871,6448.479617395671
ISIC_0003462,2983.104430577514
ISIC_0003539,3176.948693659797
ISIC_0003582,41859.40146383643
ISIC_0003657,14718.35613088467
ISIC_0003805,14071.956448174024
ISIC_0004337,4622.287145274342
ISIC_0006651,5874.663697100303
ISIC_0006671,2626.648727570311
ISIC_0006815,6241.573137304222
ISIC_0006914,59236.45998915471
ISIC_0007141,15062.852446309407
ISIC_0007156,5080.15866097511
ISIC_0007235,3668.7282738359645
ISIC_0007241,6754.039282670419
ISIC_0007332,5805.375802188239
ISIC_0007344,11856.272736062529
ISIC_0007528,2296.4286554461287
ISIC_0007796,4679.735198487004
ISIC_0008025,4268.344147722586
ISIC_0008524,21485.340205288085
ISIC_0009995,5663.39805225539
ISIC_0010459,31558.653567552683
ISIC_0012099,11230.256484194877
ISIC_0012109,18987.719106410048
ISIC_0012126,3488.9560900618962
ISIC_0012127,9184.758929497664
ISIC_0012143,240064.75280995178
ISIC_0012151,1159.9985039131716
ISIC_0012159,49724.228310416045
ISIC_0012160,15184.548036641121
ISIC_0012191,2513.391871245636
ISIC_0012201,15911.380779211933
ISIC_0012204,20983.321664529358
ISIC_0012206,72007.4342335508
ISIC_0012210,85917.98525145254
ISIC_0012221,1374.8940301845432
ISIC_0012222,25034.712010905147
ISIC_0012254,280132.12649679463
ISIC_0012256,176976.7847723735
ISIC_0012288,2987.463085096795
ISIC_0012306,250.40612977254204
ISIC_0012313,1639.9349214365066
ISIC_0012316,6111.923178049969
ISIC_0012335,1651.921474118426
ISIC_0012380,55537.86581021716
ISIC_0012383,59435.85138921812
ISIC_0012400,314553.67565941904
ISIC_0012417,1173456.6933708293
ISIC_0012434,13714.962827669195
ISIC_0012492,29740.957850227715
ISIC_0012513,39402.169551718514
ISIC_0012538,37732.038051041134
ISIC_0012547,61142.0368263073
ISIC_0012660,13122.07079090568
ISIC_0012684,10942.407887514448
ISIC_0012720,135920.2212184698
ISIC_0012746,22260.650573355757
ISIC_0012876,3792.8596472805802
ISIC_0012927,335490.1761985235
ISIC_0012956,12758.439001893159
ISIC_0012959,575.9210004748311
ISIC_0012965,2601.853741439183
ISIC_0013010,771.2348856704775
ISIC_0013082,9955.647500563588
ISIC_0013104,47852.24441897217
ISIC_0013127,98382.63266303949
ISIC_0013128,222.86946884146892
ISIC_0013132,970.1934358736326
ISIC_0013188,1865.7579028138134
ISIC_0013215,34412.674116170034
ISIC_0013232,78338.81947746128
ISIC_0013421,36799.797218685504
ISIC_0013491,18961.631542579504
ISIC_0013501,4183.430630566319
ISIC_0013518,194917.34130314272
ISIC_0013527,2068.8339969033477
ISIC_0013549,37260.383048114134
ISIC_0013561,24053.719575334166
ISIC_0013562,51304.14891437371
ISIC_0013632,57297.795388893224
ISIC_0013637,31515.594499142375
ISIC_0013644,216435.8048949287
ISIC_0013651,268124.15700124996
ISIC_0013663,290941.5069470424
ISIC_0013702,32302.490991895087
ISIC_0013736,19539.786472812993
ISIC_0013793,22210.903442708834
ISIC_0013828,74665.28221404133
ISIC_0013863,13032.193295022473
ISIC_0013898,5989.0409920430975
ISIC_0013945,43465.11803953984
ISIC_0014037,142728.24510158226
ISIC_0014038,25438.87010640814
ISIC_0014055,399637.08167732134
ISIC_0014139,13181.660143595422
ISIC_0014162,48651.54915354744
ISIC_0014178,119924.94233263726
ISIC_0014211,112285.72294648644
ISIC_0014212,539070.993867618
ISIC_0014217,536697.792160607
ISIC_0014302,57967.522104303935
ISIC_0014310,16475.96725828899
ISIC_0014382,608873.0682336148
ISIC_0014428,8002.384243822191
ISIC_0014558,156308.17985881167
ISIC_0014568,10246.809750666143
ISIC_0014572,9235.796594316373
ISIC_0014597,2546.8256668512768
ISIC_0014601,37363.827983555966
ISIC_0014608,227230.8040974054
ISIC_0014610,38600.012382615125
ISIC_0014611,81118.75842880725
ISIC_0014616,12622.752554677572
ISIC_0014618,9638.059591155092
ISIC_0014620,10551.347312373051
ISIC_0014623,24614.85241343733
ISIC_0014624,71363.02523648308
ISIC_0014633,8457.41272436874
ISIC_0014635,26717.313229377964
ISIC_0014637,28564.674145579687
ISIC_0014688,1671327.2101609781
ISIC_0014712,3227838.194519542
ISIC_0014809,237903.26590601355
ISIC_0014829,210946.20477943122
ISIC_0014857,2146.8470645584166
ISIC_0014931,225562.69468854181
ISIC_0014937,508487.68652967364
ISIC_0014945,21272.921076421626
ISIC_0014946,35467.00467420928
ISIC_0014979,3148667.8904680377
ISIC_0014985,4973087.440730061
ISIC_0014989,619725.9256360922
ISIC_0015043,756906.6884775497
ISIC_0015062,1876113.5835589916
ISIC_0015124,767585.8158721775
ISIC_0015144,56040.234232608695
ISIC_0015211,421357.67092539184
ISIC_0015243,2962085.311955668
ISIC_0015256,5483167.65440299
ISIC_0015313,976663.1199965291
ISIC_0015372,4577795.944520792
ISIC_0015401,382027.3882999718
ISIC_0015443,441753.8802840747
ISIC_0015445,3661082.811917519
ISIC_0015483,137037.33149456978
ISIC_0015496,105316.83311701566
ISIC_0015627,727740.158443375
